
-257.812500,-796.875000,16132.812500,-2.593,0.802,11.349 
-117.187500,-875.000000,15515.625000,-2.598,0.797,11.349 
-203.125000,-734.375000,16023.437500,-2.587,0.802,11.349 
-296.875000,-617.187500,16382.812500,-2.582,0.802,11.349 
-226.562500,-703.125000,15914.062500,-2.593,0.802,11.349 
-156.250000,-898.437500,15828.125000,-2.598,0.802,11.349 
-250.000000,-796.875000,15906.250000,-2.587,0.802,11.349 
-179.687500,-484.375000,16242.187500,-2.582,0.802,11.349 
-210.937500,-726.562500,16203.125000,-2.593,0.802,11.349 
-140.625000,-937.500000,15718.750000,-2.598,0.802,11.349 
-132.812500,-828.125000,15835.937500,-2.593,0.802,11.349 
-234.375000,-476.562500,16117.187500,-2.582,0.802,11.349 
-226.562500,-703.125000,16328.125000,-2.587,0.802,11.349 
-210.937500,-875.000000,15648.437500,-2.598,0.802,11.349 
-140.625000,-820.312500,15765.625000,-2.593,0.802,11.349 
-234.375000,-617.187500,16414.062500,-2.582,0.807,11.349 
-187.500000,-625.000000,16140.625000,-2.587,0.802,11.349 
-187.500000,-890.625000,15656.250000,-2.598,0.802,11.349 
-171.875000,-835.937500,15875.000000,-2.593,0.802,11.349 
-218.750000,-593.750000,16148.437500,-2.582,0.802,11.349 
-210.937500,-609.375000,16078.125000,-2.587,0.802,11.349 
-195.312500,-898.437500,15898.437500,-2.598,0.802,11.349 
-226.562500,-921.875000,15835.937500,-2.593,0.802,11.349 
-179.687500,-570.312500,16015.625000,-2.582,0.802,11.349 
-312.500000,-546.875000,16476.562500,-2.582,0.802,11.349 
-179.687500,-875.000000,15898.437500,-2.598,0.802,11.349 
-148.437500,-859.375000,15539.062500,-2.598,0.802,11.349 
-242.187500,-585.937500,16218.750000,-2.582,0.807,11.349 
-210.937500,-625.000000,16375.000000,-2.587,0.807,11.349 
-179.687500,-796.875000,15734.375000,-2.593,0.807,11.349 
-148.437500,-843.750000,15820.312500,-2.593,0.807,11.349 
-257.812500,-695.312500,16250.000000,-2.582,0.807,11.349 
-234.375000,-554.687500,16125.000000,-2.582,0.807,11.349 
-242.187500,-851.562500,15828.125000,-2.593,0.807,11.349 
-242.187500,-945.312500,15851.562500,-2.598,0.807,11.349 
-226.562500,-640.625000,15882.812500,-2.582,0.807,11.349 
